uuid,name,description
99a9f816-6d2c-4c38-8a60-52b514e462a9,Bad Hombres Against Fake News Pack 1,https://www.amazon.com/Hombres-Against-Unofficial-Expansion-Humanity/dp/B06XDVMN5T/

uuid,edition,version,description,author,releaseDate,column
a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6,,v1.0,,,0,0

uuid,suite,text,draw,pick,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
26689c5b-5329-4e5b-aa7a-2d6321e8d613,Response,Fake Green Cards being sold at the border.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
9d90081a-8829-496c-9b8d-7f33589d3e93,Response,Fear of being killed.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
7724dbae-b28d-4a1e-b821-b5e8e32bbef4,Response,Food Stamps.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
b7013cdc-ff23-473c-926e-1ac6d3533b00,Response,Fox News.®,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
7857b5ab-f52f-47d2-bb61-e44dd3c143c1,Response,Fucking south of the border.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
7114c7ea-2931-4d0b-a272-91ed9599a2bd,Response,Getting laid with a sweaty Bad Hombre.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
999b1e52-3566-4b08-be18-70adb83d3437,Response,Getting paid below minimum wage.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
a734b9ab-f41f-4a26-a523-fead3db8956c,Response,Having Cementos Mexicanos build the wall.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
60018a42-5c2c-40f2-9091-ce275aec92d2,Response,"Having sex with Mildred, Arnold Schwarzenegger's nanny and girlfriend.",0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
4d8fb0e5-d78d-4f7b-b692-99ce461076d1,Response,Having to send dinero to Chiapas.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
6ae468eb-c6a9-476a-9740-9ec4dccd5e10,Response,Hijo de la chingada.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
acd6a24e-d41e-4f68-ac27-87dcab372b2e,Response,Huge political inexperience.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
d7f110b1-c5df-49ec-b9cf-c5c989f48440,Response,Human rights abuses at the border.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
f23505ef-835e-4988-85b3-5eb0a936a8d1,Response,Insulting Bad Hombres for fun.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
40ee2701-088e-4b73-ba7c-d224dae051a5,Response,It's all about the money.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
2dbccf51-8807-41f4-9d42-7cbcd68411f6,Response,Ivanka Trump's maids.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
e49925d8-67fd-4ac1-9bdc-e8eaa97b9fa1,Response,Jennifer Lopez.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
9c36152e-7168-4631-beba-247a66aa1093,Response,Kidnappings in Mexico.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
58e378a6-91e5-44da-869e-3c48add1a8a1,Response,Los Tres Amigos.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
422087e0-2161-4d43-bbd7-e9849d3f30a0,Response,Making Mexico great again since the Aztecs and Mayans.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
fe36ae46-0e94-45b3-96c0-2e73eafb22ec,Response,Mango enchilado.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
ae629285-54fa-4a94-8bba-8f5a85d1408b,Response,Meros tacos.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
e72c805b-77c6-4ecd-a37b-a01c4fd4078e,Response,Mexican revolution in the U.S.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
cccf9b91-fd46-4492-89b4-05448e40b30a,Response,Mexicans taking all the good jobs.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
043034c9-0e5a-4487-8530-3ba0fcb60932,Response,Molesting a Mexican boy.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
8445f68a-6668-4caf-bad7-8820831d59bb,Response,Multiple hotel sex in Acapulco.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
ef108c55-3142-4fe1-93ae-24f48c06b1c9,Response,Naked Lucha Libre.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
73e086ed-6ba0-46c5-8677-b6ab5cbd9d67,Response,Nationalist officials at the border who voted for Trump.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
b6cf0b44-3f08-46c0-900e-0c72e9029d7f,Response,"No ""law and order"" building the wall.",0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
eba2e728-53ad-4465-8d2d-cbaf5521e256,Response,Not all Bad Hombres are created equal.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
f34fd3f5-2196-42ff-b148-12965bd7ec8e,Response,Not having enough Bad Hombres in the U.S. to build the wall.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
97420b5f-b4bd-4e09-909a-3dd52aa39952,Response,Pitbull as president of the new Bad Hombres political party.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
784df31c-af4f-4523-9213-4faf5959d825,Response,Potentially having free college tuition for all immigrants.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
9cb31e74-6976-4483-9bba-0f6e59f47d0d,Response,Pretending to give immigrants equal opportunity.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
4a71af12-987e-4f54-bc9d-c658ac712cec,Response,Proud to be Mexican.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
dec9fb85-6df6-403b-96bc-9355e01d6659,Response,Putting a condom in a burrito to practice.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
9a27b9d3-def5-4be1-a7bc-8b26b7038a10,Response,Real News.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
c1f7ec3d-0fa8-4642-a185-645929473fb5,Response,Really lost in translation.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
08caffb1-864c-43bd-aff2-3adfbe48f0a4,Response,Reusing condoms.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
1d298c09-c35a-4e33-b19f-d821d2af1d6f,Response,"Saying ""No Mas"" before even starting.",0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
dbfcc6fb-6799-4fa0-ba6c-eac0942cea1e,Response,Spanglish.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
80c8f858-b77e-47fe-88b1-5b68d9b95d21,Response,Spending $20 billion on the stupid wall.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
fea2e610-115f-4413-abc9-7083b2766c83,Response,Such a nasty group of people.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
1f229cf2-ade7-4ad8-842a-a534cf38ff25,Response,Thinking tequila is an expensive drink.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
d1661276-4b3d-4c3e-b41b-9b77035043bb,Response,Three days without eating in the Arizona desert to reach the American Dream.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
7d219bbd-75b5-4e6c-b672-5096e4819794,Response,Too many Bad Hombres with working visas.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
8269a242-0b72-4189-a4ea-459dc40674ba,Response,Translating the U.S. Constitution to Spanish.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
1c17db01-8f0e-4975-91aa-8016b2af9e3d,Response,Treating Good Hombres like Bad Hombres.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
3d0bcc4f-6f22-4fd1-986d-4396eef743f0,Response,Trump neglecting the U.S. inner cities where Bad Hombres live.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
78b526d6-0057-42d1-92a4-62a9dc938b4c,Response,Trump's deportation machine terror tactics.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
7aa20ac4-6cab-4272-8530-8526d487f295,Response,Unsafe sex.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
fe297608-75e6-4b9b-8d6f-8d0be4835e58,Response,White supremacy ideas.,0,0,a78f8c2e-ef6e-4e6b-9ca9-1fa9a7a328d6
